"Config","OCR_module","Filename","OCR_Time"
"292","PaddleOCR","example26",0.996305227279663
"292","docTR","example26",3.89506673812866
"301","TesseractOCR","example6",0.194108963012695
"301","KerasOCR","example6",2.25734639167786
"301","EasyOCR","example6",2.24854588508606
"301","PaddleOCR","example6",0.979943752288818
"301","docTR","example6",2.65510988235474
"2","TesseractOCR","example15",1.9380841255188
"2","KerasOCR","example15",4.16599893569946
"2","EasyOCR","example15",2.27092313766479
"2","PaddleOCR","example15",4.99009323120117
"2","docTR","example15",6.21420955657959
"192","TesseractOCR","example17",2.10214424133301
"192","KerasOCR","example17",15.7823097705841
"192","EasyOCR","example17",2.43746018409729
"192","PaddleOCR","example17",4.41791105270386
"192","docTR","example17",5.68491101264954
"164","TesseractOCR","example7",1.59841895103455
"164","KerasOCR","example7",4.13338947296143
"164","EasyOCR","example7",2.34158325195312
"164","PaddleOCR","example7",9.38812828063965
"164","docTR","example7",4.95843172073364
"129","TesseractOCR","example31",0.501473188400269
"129","KerasOCR","example31",4.45084404945374
"129","EasyOCR","example31",2.44922375679016
"129","PaddleOCR","example31",4.17114806175232
"129","docTR","example31",7.31997489929199
"268","TesseractOCR","example9",1.08562159538269
"268","KerasOCR","example9",4.27397704124451
"268","EasyOCR","example9",2.30784034729004
"268","PaddleOCR","example9",4.90725111961365
"268","docTR","example9",4.24208474159241
"69","TesseractOCR","example13",0.19993782043457
"69","KerasOCR","example13",1.88749170303345
"69","EasyOCR","example13",2.6451518535614
"69","PaddleOCR","example13",1.38842439651489
"69","docTR","example13",3.32805442810059
"206","TesseractOCR","example4",0.515582323074341
"206","KerasOCR","example4",3.31935811042786
"206","EasyOCR","example4",2.54733562469482
"206","PaddleOCR","example4",2.37312436103821
"206","docTR","example4",4.55124068260193
"35","TesseractOCR","example14",1.39352631568909
"35","KerasOCR","example14",12.4422082901001
"35","EasyOCR","example14",2.32136034965515
"35","PaddleOCR","example14",3.64700675010681
"35","docTR","example14",4.00972604751587
"0","TesseractOCR","example16",0.814889430999756
"0","KerasOCR","example16",16.0795059204102
"0","EasyOCR","example16",2.42100667953491
"0","PaddleOCR","example16",3.22789573669434
"0","docTR","example16",6.35806012153625
"192","TesseractOCR","example3",1.08306622505188
"192","KerasOCR","example3",12.0216765403748
"192","EasyOCR","example3",2.30044388771057
"192","PaddleOCR","example3",3.68457746505737
"192","docTR","example3",5.16957259178162
"200","TesseractOCR","example9",0.530768632888794
"200","KerasOCR","example9",4.94228792190552
"200","EasyOCR","example9",2.39497303962708
"200","PaddleOCR","example9",2.88118052482605
"200","docTR","example9",5.93617630004883
"276","TesseractOCR","example19",0.151627063751221
"276","KerasOCR","example19",1.83691096305847
"276","EasyOCR","example19",2.66408538818359
"276","PaddleOCR","example19",7.35604953765869
"276","docTR","example19",2.61981320381165
"333","TesseractOCR","example5",0.359281301498413
"333","KerasOCR","example5",3.71973347663879
"333","EasyOCR","example5",2.23624968528748
"333","PaddleOCR","example5",2.40142393112183
"333","docTR","example5",3.9679217338562
"304","TesseractOCR","example18",0.615728378295898
"304","KerasOCR","example18",18.2165079116821
"304","EasyOCR","example18",2.53293800354004
"304","PaddleOCR","example18",2.21279406547546
"304","docTR","example18",4.9147732257843
"131","TesseractOCR","example21",0.986431837081909
"131","KerasOCR","example21",16.8135480880737
"131","EasyOCR","example21",2.60580110549927
"131","PaddleOCR","example21",3.30510234832764
"131","docTR","example21",5.86132860183716
"113","TesseractOCR","example10",1.17397665977478
"113","KerasOCR","example10",4.78895211219788
"113","EasyOCR","example10",2.19371652603149
"113","PaddleOCR","example10",6.0753436088562
"113","docTR","example10",4.95640850067139
"69","TesseractOCR","example14",0.171852111816406
"69","KerasOCR","example14",1.84122133255005
"69","EasyOCR","example14",2.43358469009399
"69","PaddleOCR","example14",1.5711784362793
"69","docTR","example14",2.50173878669739
"186","TesseractOCR","example8",0.142334461212158
"186","KerasOCR","example8",1.85516023635864
"186","EasyOCR","example8",2.37767338752747
"186","PaddleOCR","example8",1.30597329139709
